iter	Accuracy	Logloss
0	0.8214285714	0.6719961386
1	0.9285714286	0.6457244573
2	0.8928571429	0.6223214019
3	0.9642857143	0.6034209604
4	0.9642857143	0.5960060134
5	0.9642857143	0.5801719431
6	0.9642857143	0.5691214473
7	0.9642857143	0.5513437033
8	0.9642857143	0.5388337385
9	0.9642857143	0.5240162115
10	0.9642857143	0.512467258
11	0.9642857143	0.4998708428
12	0.9642857143	0.4899951213
13	0.9642857143	0.4779174505
14	0.9642857143	0.4628478812
15	0.9642857143	0.4506281274
16	0.9642857143	0.438941828
17	0.9642857143	0.4280759171
18	0.9642857143	0.4197222337
19	0.9642857143	0.4126721239
20	0.9642857143	0.4016730598
21	0.9642857143	0.3918367633
22	0.9642857143	0.3817244504
23	0.9642857143	0.3724867393
24	0.9642857143	0.3646195144
25	0.9642857143	0.3551701639
26	0.9642857143	0.3458560895
27	0.9642857143	0.3395584025
28	0.9642857143	0.3320514788
29	0.9642857143	0.3245301234
30	0.9642857143	0.3189962216
31	0.9642857143	0.3094654809
32	0.9642857143	0.3059177718
33	0.9642857143	0.2978092181
34	0.9642857143	0.2938929289
35	0.9642857143	0.2870392691
36	0.9642857143	0.282620132
37	0.9642857143	0.278081103
38	0.9642857143	0.2758173899
39	0.9642857143	0.272407232
40	0.9642857143	0.2684156313
41	0.9642857143	0.2640476202
42	0.9642857143	0.2597862298
43	0.9642857143	0.2532068892
44	0.9642857143	0.2479107593
45	0.9642857143	0.2446225969
46	0.9642857143	0.2403137888
47	0.9642857143	0.2371114651
48	0.9642857143	0.2342962119
49	0.9642857143	0.2302997629
50	0.9642857143	0.2252330561
51	0.9642857143	0.2220703881
52	0.9642857143	0.2189502485
53	0.9642857143	0.2173658094
54	0.9642857143	0.2142547716
55	0.9642857143	0.2117249028
56	0.9642857143	0.2086371843
57	0.9642857143	0.2065280531
58	0.9642857143	0.2029123171
59	0.9642857143	0.1983098423
60	0.9642857143	0.1953940508
61	0.9642857143	0.1931182474
62	0.9642857143	0.188941961
63	0.9642857143	0.1862212844
64	0.9642857143	0.1846220643
65	0.9642857143	0.1813767801
66	0.9642857143	0.1804243681
67	0.9642857143	0.1783468917
68	0.9642857143	0.1763605431
69	0.9642857143	0.1750022154
70	0.9642857143	0.1719456192
71	0.9642857143	0.1703788195
72	0.9642857143	0.1687542947
73	0.9642857143	0.1673452189
74	0.9642857143	0.1656265709
75	0.9642857143	0.1641565171
76	0.9642857143	0.161794611
77	0.9642857143	0.160822903
78	0.9642857143	0.1593119887
79	0.9642857143	0.157468799
80	0.9642857143	0.1565498949
81	0.9642857143	0.1549513376
82	0.9642857143	0.1539096026
83	0.9642857143	0.1525074865
84	0.9642857143	0.1508641868
85	0.9642857143	0.1492027723
86	0.9642857143	0.148109082
87	0.9642857143	0.1468989951
88	0.9642857143	0.1462374798
89	0.9642857143	0.1449909797
90	0.9642857143	0.1433997468
91	0.9642857143	0.1420804718
92	0.9642857143	0.1404825783
93	0.9642857143	0.138929229
94	0.9642857143	0.1377895744
95	0.9642857143	0.1365270639
96	0.9642857143	0.1351588059
97	0.9642857143	0.1334200052
98	0.9642857143	0.1322076388
99	0.9642857143	0.1310097556
100	0.9642857143	0.1298706015
101	0.9642857143	0.1286802862
102	0.9642857143	0.1272164078
103	0.9642857143	0.1257728947
104	0.9642857143	0.1246755873
105	0.9642857143	0.1237909013
106	0.9642857143	0.1229720757
107	0.9642857143	0.1223144772
108	0.9642857143	0.1208844531
109	0.9642857143	0.1196637315
110	0.9642857143	0.1185569924
111	0.9642857143	0.1173164439
112	0.9642857143	0.1163242119
113	0.9642857143	0.115192143
114	0.9642857143	0.113981958
115	0.9642857143	0.1129430049
116	0.9642857143	0.1120474734
117	0.9642857143	0.110989404
118	0.9642857143	0.1101509836
119	0.9642857143	0.1090545162
120	0.9642857143	0.1083203588
121	0.9642857143	0.107627851
122	0.9642857143	0.1069048751
123	0.9642857143	0.1060031437
124	0.9642857143	0.1053227865
125	0.9642857143	0.104472956
126	0.9642857143	0.1037337792
127	0.9642857143	0.1028788686
128	0.9642857143	0.1021642438
129	0.9642857143	0.1016061066
130	0.9642857143	0.1009361328
131	0.9642857143	0.1002792217
132	0.9642857143	0.09962551539
133	0.9642857143	0.09898158918
134	0.9642857143	0.09857745328
135	0.9642857143	0.0981505692
136	0.9642857143	0.09754115657
137	0.9642857143	0.09690819136
138	0.9642857143	0.09636968673
139	0.9642857143	0.09594713441
140	0.9642857143	0.095346308
141	0.9642857143	0.09488250016
142	0.9642857143	0.09435436937
143	0.9642857143	0.09386187228
144	0.9642857143	0.09342874883
145	0.9642857143	0.09301554988
146	0.9642857143	0.09253827734
147	0.9642857143	0.09214474069
148	0.9642857143	0.09164854753
149	0.9642857143	0.09125090981
150	0.9642857143	0.09082420676
151	0.9642857143	0.09034232216
152	0.9642857143	0.08978629563
153	0.9642857143	0.08941789728
154	0.9642857143	0.08898982071
155	0.9642857143	0.08855156105
156	0.9642857143	0.08812656918
157	0.9642857143	0.08778674671
158	0.9642857143	0.08726068581
159	0.9642857143	0.08693258034
160	0.9642857143	0.08660964542
161	0.9642857143	0.08624823507
162	0.9642857143	0.08586742671
163	0.9642857143	0.0855651053
164	0.9642857143	0.08522762332
165	0.9642857143	0.08476126803
166	0.9642857143	0.0844719872
167	0.9642857143	0.08419111108
168	0.9642857143	0.0838549517
169	0.9642857143	0.08352940963
170	0.9642857143	0.08326200667
171	0.9642857143	0.083000207
172	0.9642857143	0.08261057069
173	0.9642857143	0.08235632725
174	0.9642857143	0.08204194334
175	0.9642857143	0.08179650003
176	0.9642857143	0.08155605915
177	0.9642857143	0.08126217775
178	0.9642857143	0.0810309376
179	0.9642857143	0.08080423323
180	0.9642857143	0.08043041384
181	0.9642857143	0.08021006904
182	0.9642857143	0.07999402122
183	0.9642857143	0.07973442106
184	0.9642857143	0.07938906758
185	0.9642857143	0.07917888705
186	0.9642857143	0.07892868151
187	0.9642857143	0.07872885268
188	0.9642857143	0.0785311864
189	0.9642857143	0.07833504555
190	0.9642857143	0.07801533622
191	0.9642857143	0.07782626552
192	0.9642857143	0.07764076516
193	0.9642857143	0.07745868585
194	0.9642857143	0.07715547737
195	0.9642857143	0.07697635281
196	0.9642857143	0.07668653458
197	0.9642857143	0.07651322979
198	0.9642857143	0.07634317064
199	0.9642857143	0.07617621835
200	0.9642857143	0.07590049419
201	0.9642857143	0.07573595929
202	0.9642857143	0.07557586697
203	0.9642857143	0.07536984427
204	0.9642857143	0.07511178154
205	0.9642857143	0.0749570464
206	0.9642857143	0.0748051319
207	0.9642857143	0.07461192994
208	0.9642857143	0.07446434516
209	0.9642857143	0.07427677789
210	0.9642857143	0.07413165577
211	0.9642857143	0.07398947051
212	0.9642857143	0.07375624482
213	0.9642857143	0.07361704563
214	0.9642857143	0.07348029247
215	0.9642857143	0.07330719131
216	0.9642857143	0.07308786993
217	0.9642857143	0.07295523038
218	0.9642857143	0.07282492803
219	0.9642857143	0.07269564161
220	0.9642857143	0.07256865609
221	0.9642857143	0.07236124099
222	0.9642857143	0.07223673118
223	0.9642857143	0.07211436225
224	0.9642857143	0.0719151739
225	0.9642857143	0.071795131
226	0.9642857143	0.07167714513
227	0.9642857143	0.07152855297
228	0.9642857143	0.07141267478
229	0.9642857143	0.07129863646
230	0.9642857143	0.07111302679
231	0.9642857143	0.07100105723
232	0.9642857143	0.07089097313
233	0.9642857143	0.07075271797
234	0.9642857143	0.0706175714
235	0.9642857143	0.07051085709
236	0.9642857143	0.07040509138
237	0.9642857143	0.07030092332
238	0.9642857143	0.07013115804
239	0.9642857143	0.07002876894
240	0.9642857143	0.06992806782
241	0.9642857143	0.06980155222
242	0.9642857143	0.06970250636
243	0.9642857143	0.06960494963
244	0.9642857143	0.06944594699
245	0.9642857143	0.0693499828
246	0.9642857143	0.06925557494
247	0.9642857143	0.06910216487
248	0.9642857143	0.06900926244
249	0.9642857143	0.06891786286
250	0.9642857143	0.06880340504
251	0.9642857143	0.06871349043
252	0.9642857143	0.06862483449
253	0.9642857143	0.06848068245
254	0.9642857143	0.06839337882
255	0.9642857143	0.06830746435
256	0.9642857143	0.06820009954
257	0.9642857143	0.06811548567
258	0.9642857143	0.06803173794
259	0.9642857143	0.06794888409
260	0.9642857143	0.06786652793
261	0.9642857143	0.06778500845
262	0.9642857143	0.06770447493
263	0.9642857143	0.06757312619
264	0.9642857143	0.06749373931
265	0.9642857143	0.06741558476
266	0.9642857143	0.06731772529
267	0.9642857143	0.06724080747
268	0.9642857143	0.0671648396
269	0.9642857143	0.06704089347
270	0.9642857143	0.06696596156
271	0.9642857143	0.06689217559
272	0.9642857143	0.06679997598
273	0.9642857143	0.06672728606
274	0.9642857143	0.06665551039
275	0.9642857143	0.06656550152
276	0.9642857143	0.06649502235
277	0.9642857143	0.06640686474
278	0.9642857143	0.06633735402
279	0.9642857143	0.06626849738
280	0.9642857143	0.06620029513
281	0.9642857143	0.0661324727
282	0.9642857143	0.06606528467
283	0.9642857143	0.06599883367
284	0.9642857143	0.06593263983
285	0.9642857143	0.06586706142
286	0.9642857143	0.06580228246
287	0.9642857143	0.06569536822
288	0.9642857143	0.0656313718
289	0.9642857143	0.06556830737
290	0.9642857143	0.06550548202
291	0.9642857143	0.06544322848
292	0.9642857143	0.06538171188
293	0.9642857143	0.06530388475
294	0.9642857143	0.06524311145
295	0.9642857143	0.0651831228
296	0.9642857143	0.06508366632
297	0.9642857143	0.06502435875
298	0.9642857143	0.06496589478
299	0.9642857143	0.0648921473
300	0.9642857143	0.06483439198
301	0.9642857143	0.06477734933
302	0.9642857143	0.06468290877
303	0.9642857143	0.06462648787
304	0.9642857143	0.06457086176
305	0.9642857143	0.06450845223
306	0.9642857143	0.06445373656
307	0.9642857143	0.06439914767
